Designator,Mid X,Mid Y,Rotation,Layer
C2,172.28,-81.03,180.0,top
C3,172.2,-79.27,180.0,top
J4,169.89,-84.46,0.0,top
J5,161.89,-80.36,90.0,top
R5,165.69,-79.71,270.0,top
R6,167.7,-72.81,90.0,top
R7,170.05,-72.79,90.0,top
R8,168.53,-79.66,270.0,top
U1,169.23,-76.38,180.0,top
